Date,Close,High,Low,Open,Volume,Ticker
2020-01-02,5.970753192901611,5.970753192901611,5.8913625714305295,5.9418839191567505,237536000,NVDA
2020-01-03,5.875186443328857,5.918988548422026,5.826157991152776,5.851045561653233,205384000,NVDA
2020-01-06,5.899825096130371,5.905051443474641,5.7557269623863725,5.781858699107725,262636000,NVDA
2020-01-07,5.971251964569092,6.0170449229818495,5.883150279100278,5.928196548695039,314856000,NVDA
2020-01-08,5.982451438903809,6.023764739731018,5.926952474390596,5.967021135605146,277108000,NVDA
2020-01-09,6.048154354095459,6.120576999500233,5.994397505336159,6.068811004490261,255112000,NVDA
2020-01-10,6.080507755279541,6.185781859126946,6.066322091859231,6.155419203881554,316296000,NVDA
2020-01-13,6.271145343780518,6.296281649371499,6.140983683403127,6.163631659458334,319840000,NVDA
2020-01-14,6.154174327850342,6.2537241224035025,6.140983618120265,6.228338604376113,359088000,NVDA
2020-01-15,6.111617565155029,6.189266562204564,6.085734566138518,6.166867794798315,263104000,NVDA
2020-01-16,6.1952385902404785,6.20121162555612,6.141730485110568,6.1651246756422955,284192000,NVDA
2020-01-17,6.203949451446533,6.221868558212583,6.156414379459316,6.214402145054004,253792000,NVDA
2020-01-21,6.170601844787598,6.204199999194537,6.136505739519911,6.16736635092024,217916000,NVDA
2020-01-22,6.224606037139893,6.311214340256056,6.196980925833093,6.215895459222514,239240000,NVDA
2020-01-23,6.293045997619629,6.301507836838535,6.1758263120548635,6.2646746744716655,244516000,NVDA
2020-01-24,6.233816146850586,6.458301325406744,6.179561337282814,6.408526174948215,373512000,NVDA
2020-01-27,5.977972507476807,6.028991819907899,5.779619081655654,5.929192787115326,470536000,NVDA
2020-01-28,6.171348571777344,6.203702086577362,5.990665035935244,6.043924417268524,310976000,NVDA
2020-01-29,6.1108717918396,6.1930004533573255,6.071051388818257,6.15691349496701,258848000,NVDA
2020-01-30,6.117590427398682,6.131029877336464,5.9580619920465185,6.013063007373622,290504000,NVDA
2020-01-31,5.8841471672058105,6.083744780347255,5.842336380542271,6.071798705674518,370420000,NVDA
2020-02-03,5.98120641708374,6.000618425103622,5.859755336536209,5.865977109635358,255564000,NVDA
2020-02-04,6.1504411697387695,6.169604915500799,6.073041396690385,6.123065271647515,271544000,NVDA
2020-02-05,6.240784645080566,6.281600002852796,6.1574113388102445,6.271396044736984,208220000,NVDA
2020-02-06,6.327641487121582,6.327641487121582,6.193996033305588,6.275129269822066,218284000,NVDA
2020-02-07,6.261441230773926,6.309723003033855,6.236055704809275,6.287572971010172,189752000,NVDA
2020-02-10,6.544659614562988,6.545405828690706,6.279109918334532,6.284087527331507,529608000,NVDA
2020-02-11,6.667106628417969,6.78183801655105,6.590951003561365,6.652920962882322,638556000,NVDA
2020-02-12,6.782832622528076,6.789303609316135,6.6810427471678455,6.719867243823403,374644000,NVDA
2020-02-13,6.739030838012695,6.806227140199574,6.697468796769711,6.724845173517911,528016000,NVDA
2020-02-14,7.212142467498779,7.341059519682939,7.11781899548029,7.149177081897548,1041924000,NVDA
2020-02-18,7.3808794021606445,7.399296462852883,7.089447146414117,7.108859159403147,620164000,NVDA
2020-02-19,7.832088947296143,7.849759318235343,7.503325584326226,7.503325584326226,694332000,NVDA
2020-02-20,7.682764053344727,7.872406404086642,7.375403572712378,7.784055978174739,810052000,NVDA
2020-02-21,7.318660259246826,7.595658094730664,7.2337940614080205,7.570521784732128,768180000,NVDA
2020-02-24,6.8012495040893555,7.015033220439057,6.669843655720504,6.724347196251177,856916000,NVDA
2020-02-25,6.521763324737549,6.938379636288666,6.41997344513621,6.876409681886865,1055496000,NVDA
2020-02-26,6.6611328125,6.855255296567621,6.520518914603024,6.522011817590938,747732000,NVDA
2020-02-27,6.290337085723877,6.64893125360864,6.197949244815988,6.3476124078584535,906416000,NVDA
2020-02-28,6.725381851196289,6.78489858460974,6.021143174384864,6.037827618697656,1133252000,NVDA
2020-03-02,6.88375997543335,6.912646997105689,6.499516704618739,6.89546430619151,890744000,NVDA
2020-03-03,6.6212897300720215,6.99930752770116,6.5358745190694,6.939541911176485,652792000,NVDA
2020-03-04,7.0849714279174805,7.094434352559706,6.653911295478629,6.728618670281707,597408000,NVDA
2020-03-05,6.805566310882568,7.052348512985512,6.76099087219597,6.885502676379965,540328000,NVDA
