Date,Macro_Sentiment,Macro_News_Volume,Macro_Sentiment_3d
2020-01-06,0.07034,5,0.05232
2020-01-07,0.006974999999999992,4,0.059371666666666656
2020-01-08,0.045533333333333335,6,0.04094944444444444
2020-01-09,-0.16745714285714283,7,-0.03831626984126984
2020-01-10,0.21230000000000002,3,0.030125396825396836
2020-01-13,0.0903,4,0.04504761904761906
2020-01-14,0.28359999999999996,7,0.1954
2020-01-15,0.1527285714285714,7,0.1755428571428571
2020-01-16,-0.129725,8,0.10220119047619046
2020-01-17,0.08808,5,0.03702785714285713
2020-01-21,0.13566666666666666,6,0.03134055555555555
2020-01-22,0.07136666666666668,3,0.09837111111111112
2020-01-23,0.0,2,0.06901111111111112
2020-01-24,0.0,2,0.02378888888888889
2020-01-27,0.131775,4,0.043925
2020-01-28,0.0389,6,0.05689166666666667
2020-01-29,-0.2294,2,-0.019575
2020-01-30,0.11249999999999999,3,-0.026000000000000006
2020-01-31,0.7884,1,0.22383333333333333
2020-02-03,0.3347428571428571,7,0.41188095238095235
2020-02-04,0.1186,3,0.4139142857142857
2020-02-05,0.085875,4,0.17973928571428568
2020-02-06,0.0,3,0.06815833333333333
2020-02-07,-0.012599999999999991,6,0.024425000000000006
2020-02-10,0.018771428571428567,7,0.0020571428571428594
2020-02-11,-0.06086666666666666,6,-0.018231746031746026
2020-02-12,0.1657,6,0.0412015873015873
2020-02-13,0.1858,3,0.09687777777777777
2020-02-14,0.31845,2,0.22331666666666664
2020-02-18,0.2023,1,0.23551666666666668
2020-02-19,0.11745714285714286,7,0.21273571428571428
2020-02-20,-0.233225,4,0.02884404761904763
2020-02-21,-0.03654999999999999,6,-0.05077261904761904
2020-02-24,-0.08020000000000001,7,-0.11665833333333332
2020-02-25,0.0754,8,-0.013783333333333323
2020-02-26,-0.09796,10,-0.03425333333333333
2020-02-27,-0.13399411764705882,17,-0.05218470588235293
2020-02-28,-0.249075,16,-0.16034303921568627
2020-03-02,-0.08772499999999998,4,-0.1569313725490196
2020-03-03,0.09854,5,-0.07941999999999998
2020-03-04,-0.02372500000000001,4,-0.004303333333333321
2020-03-05,0.004259999999999997,5,0.02635833333333334
2020-03-06,-0.25994,5,-0.09313500000000001
2020-03-09,-0.15033125,32,-0.1353370833333333
2020-03-10,-0.050600000000000006,8,-0.15362374999999998
2020-03-11,-0.22691,10,-0.14261374999999998
2020-03-12,-0.182972,25,-0.153494
2020-03-13,0.11506666666666666,15,-0.09827177777777775
2020-03-16,-0.233045,20,-0.10031677777777775
2020-03-17,-0.13255714285714285,14,-0.08351182539682538
2020-03-18,-0.04573333333333333,12,-0.13711182539682537
2020-03-19,0.11999166666666668,12,-0.019432936507936472
2020-03-20,-0.13275,6,-0.019497222222222194
2020-03-23,-0.13095555555555555,9,-0.0479046296296296
2020-03-24,-0.07136,10,-0.1116885185185185
2020-03-25,-0.046599999999999996,12,-0.08297185185185184
