Date,Strategy_Return,Benchmark_Return,Strategy_Equity,Benchmark_Equity
2022-01-31,0.005190790933820004,0.00645888598802401,1.005204286429741,1.0064797895725164
2022-02-01,0.010358105893518647,0.014556614964955078,1.0156704099048135,1.0212378816752223
2022-02-02,-0.035511252585310946,-0.062305522123984936,0.9802355728373716,0.9595507995423719
2022-02-03,0.01852137984305395,0.01948697444995491,0.9985600617923784,0.9784329216476089
2022-02-04,-0.010743003245063,-0.00955172844169428,0.9878899449794607,0.9691316882263191
2022-02-07,0.011161584186339234,0.00850462109280663,0.9989781274940277,0.9774089335512498
2022-02-08,0.019112183322937452,0.02040086635892437,1.0182543996670685,0.9975537093467465
2022-02-09,-0.017446231100968754,-0.02242004995009926,1.0006437643757229,0.975437356628501
2022-02-10,-0.02718552957658573,-0.03267546637593853,0.9738071700235552,0.9440795908618655
2022-02-11,-0.004778532088209022,0.00388554622170958,0.9691649016616367,0.9477549915947444
2022-02-14,0.019355160655954166,0.02979373849594319,0.9881059563052119,0.9764170101531038
2022-02-15,-0.0007098938539152489,-0.0006857697492613898,0.9874047548785528,0.9757476424471709
2022-02-16,-0.02121359081618665,-0.0340855639886173,0.966678965881806,0.9430491724057861
2022-02-17,-0.004332507238569545,-0.01115059353172043,0.9624998817578566,0.9325920244565465
2022-02-18,-0.019795680144959693,-0.01233930161831783,0.9436338906012853,0.9211551965269874
2022-02-22,-0.0388767377205401,-0.02789201203850774,0.9076524358735684,0.8958173293855747
2022-02-23,0.019292775412408977,0.034089895450302374,0.9253335812313467,0.9268821381647511
2022-02-24,0.024182015137382582,0.01735111971282641,0.9479827595843958,0.9431049157797218
2022-02-25,0.0030522296354199827,0.00960210834928988,0.9508806409069458,0.952204328223809
2022-02-28,-0.017784992401775418,-0.017541162392081887,0.9341187329581205,0.9356471976696199
2022-03-01,0.022667690964524517,0.01862427070108365,0.9555348577679743,0.9532362273719676
2022-03-02,-0.009976889051660545,-0.01246884691084393,0.9460489909114255,0.9414242645963135
2022-03-03,-0.003969150476857074,-0.00801542408134436,0.9423014223597513,0.9339085110896191
2022-03-04,-0.04275110361703617,-0.03969275952875378,0.9028659574621968,0.8975651605730255
2022-03-07,0.00031681277076875695,0.0008755349541623901,0.9031520422430763,0.898351354364596
2022-03-08,0.03133273307271403,0.037040653498620915,0.9318982611710259,0.9322508291720871
2022-03-09,0.0029892368515576197,-0.005287563628381691,0.9346880934525665,0.9273345027439821
2022-03-10,-0.024183602958729303,-0.0201228241983206,0.9123551022437146,0.9088604123939769
2022-03-11,-0.005511221226362198,-0.01711439576621762,0.9073407417552213,0.8934381632703988
2022-03-14,0.038815541272231004,0.03533857543883,0.943252114757192,0.9255754945608892
2022-03-15,0.02225123337146739,0.03304915993869581,0.964475889593132,0.9566760804934334
2022-03-16,0.009096405044513872,0.01591058241836212,0.9732891767846743,0.9720190885490368
2022-03-17,0.0134559414415608,0.02377829532480245,0.986474208518505,0.9954090299045218
2022-03-18,-0.0004027495156498443,0.0029617302909738003,0.9860769865046793,0.9983615330811034
2022-03-21,0.011411732155622323,0.017852314142277892,0.9973942851313379,1.0163446392207998
2022-03-22,-0.00907266021515777,-0.009897836612961172,0.9883861911600029,1.006334646396823
2022-03-23,0.029747508371798508,0.02677026114062281,1.018229904991438,1.0336383203449775
2022-03-24,0.007762041711791844,0.0026925618181721602,1.02616420131943,1.0364252056669254
2022-03-25,0.006694848163724963,0.017339616121796332,1.0330572630931567,1.0545531323203896
